Kind	Subclass	Origin	Number	Unit code	TQ	Size	Missile	Hits	State	MissileStatus	StackedOn	Unit global type	Nb mens
PH		Macedonian	1	PH1	7	10						Infantry	1500
PH		Macedonian	2	PH2	7	10						Infantry	1500
PH		Macedonian	3	PH3	7	10						Infantry	1500
PH		Macedonian	4	PH4	7	10						Infantry	1500
SK		Macedonian	1	SK1	4	1	A					SK	0
SK		Macedonian	2	SK2	4	1	A					SK	0
SK		Mercenary	1	MSK1	4	1	S					SK	0
SK		Mercenary	2	MSK2	4	1	S					SK	0
SKp		Agrianian	3	Ag1	6	1	J					SKp	0
SKp		Agrianian	4	Ag2	6	1	J					SKp	0
SK		Illyrian	1	ISK	5	1	J					SK	0
HI		Hypaspists	Agema	HHIA	9	7						Infantry	1050
HI		Hypaspists	1	HHI1	8	6						Infantry	900
HI		Hypaspists	2	HHI2	8	6						Infantry	900
LC		Dahae		DLC	5	5	J					Cavalry	500
LC		Sacae		SLC	5	5	J					Cavalry	500
LN		Prodromoi	2	PLN2	7	4						Cavalry	400
LN		Prodromoi	3	PLN3	7	4						Cavalry	400
HC		Companion	Agema	CHCA	9	3						Cavalry	300
HC		Companion	1	CHC1	8	5						Cavalry	500
HC		Companion	2	CHC2	8	5						Cavalry	500
HC		Companion	3	CHC3	8	5						Cavalry	500
HC		Companion	4	CHC4	8	5						Cavalry	500
