Kind	Subclass	Origin	Number	Unit code	TQ	Size	Missile	Hits	State	MissileStatus	StackedOn	Unit global type	Nb mens
PH		Macedonian	1	PH1	7	10						Infantry	1500
PH		Macedonian	2	PH2	7	10					PH2	Infantry	1500
PH		Macedonian	3	PH3	7	10						Infantry	1500
PH		Macedonian	4	PH4	7	10					PH4	Infantry	1500
PH		Macedonian	5	PH5	7	10						Infantry	1500
PH		Macedonian	6	PH6	7	10					PH6	Infantry	1500
PH		Macedonian	7	PH7	7	10						Infantry	1500
PH		Macedonian	8	PH8	7	10					PH8	Infantry	1500
PH		Macedonian	9	PH9	7	10						Infantry	1500
PH		Macedonian	10	PH10	7	10					PH10	Infantry	1500
PH		Macedonian	11	PH11	7	10						Infantry	1500
PH		Macedonian	12	PH12	7	10					PH12	Infantry	1500
HI		Hypaspists	Agema	HHIA	9	7						Infantry	1050
HI		Hypaspists	1	HHI1	8	6						Infantry	900
HI		Hypaspists	2	HHI2	8	6						Infantry	900
LP		Thracian	1	TLP1	5	5	J					Infantry	750
LP		Thracian	2	TLP2	5	5	J					Infantry	750
LP		Thracian	3	TLP3	5	5	J					Infantry	750
LP		Thracian	4	TLP4	5	5	J					Infantry	750
LP		Thracian	5	TLP5	5	5	J					Infantry	750
HC		Companion	Agema	CHCA	9	4						Cavalry	400
HC		Companion	1	CHC1	8	4						Cavalry	400
HC		Companion	2	CHC2	8	4						Cavalry	400
HC		Companion	3	CHC3	8	4						Cavalry	400
HC		Companion	4	CHC4	8	4						Cavalry	400
LC		Macedonian	1	LC1	6	2	J					Cavalry	200
