Kind	Subclass	Origin	Number	Unit code	TQ	Size	Missile	Hits	State	MissileStatus
PH		Craterus	1	PH1	7	10				
PH		Meleager	2	PH2	7	10				
PH		Philip	3	PH3	7	10				
PH		Amyntas	4	PH4	7	10				
PH		Coenus	5	PH5	7	10				
PH		Perdiccas	6	PH6	7	10				
HI		Hypaspists	Agema	HHIA	9	7				
HI		Hypaspists	1	HHI1	8	6				
HI		Hypaspists	2	HHI2	8	6				
LP		Thracian	1	TLP1	5	5	J			
LP		Thracian	2	TLP2	5	5	J			
LP		Thracian	3	TLP3	5	5	J			
LP		Thracian	4	TLP4	5	5	J			
LP		Thracian	5	TLP5	5	5	J			
LP		Thracian	6	TLP6	5	5	J			
SK		Macedonian	1	SK1	3	1	A			
SK		Cretan	2	SK2	3	1	A			
SK		Agrianian	3	SK3	6	1	J			
SK		Agrianian	4	SK4	6	1	J			
HC		Companion	Agema	CHCA	9	4				
HC		Companion	1	CHC1	8	4				
HC		Companion	2	CHC2	8	4				
HC		Companion	3	CHC3	8	4				
HC		Companion	4	CHC4	8	4				
HC		Thessalian	Elite	THCE	8	4				
HC		Thessalian	1	THC1	7	4				
HC		Thessalian	2	THC2	7	4				
HC		Thessalian	3	THC3	7	4				
HC		Thessalian	4	THC4	7	4				
LC		Paenian	1	LC1	6	2	J			
LC		Thracian	2	LC2	6	2	MJ			
LC		Greek Allied	3	LC3	5	3	MJ			
LC		Greek Allied	4	LC4	5	3	MJ			
LN		Prodromoi	1	PLN1	7	4				
