Kind	Subclass	Origin	Number	Unit code	TQ	Size	Missile	Hits	State	MissileStatus	Unit global type	Nb mens
LC		Scythian	6	LC6	5	5	A				Cavalry	500
LC		Scythian	7	LC7	5	5	A				Cavalry	500
LC		Scythian	8	LC8	5	5	A				Cavalry	500
LC		Scythian	9	LC9	5	5	A				Cavalry	500
LC		Scythian	10	LC10	5	5	A				Cavalry	500
LC		Scythian	11	LC11	5	5	A				Cavalry	500
LC		Scythian	12	LC12	6	5	A				Cavalry	500
LC		Scythian	13	LC13	6	5	A				Cavalry	500
LC		Scythian	14	LC14	6	5	A				Cavalry	500
LC		Scythian	15	LC15	6	5	A				Cavalry	500
LC		Scythian	16	LC16	6	5	A				Cavalry	500
LC		Scythian	17	LC17	6	5	A				Cavalry	500
LC		Scythian	18	LC18	6	5	A				Cavalry	500
LC		Scythian	19	LC19	6	5	A				Cavalry	500
LC		Scythian	20	LC20	6	5	A				Cavalry	500
LN		Scythian	1	LN1	6	5					Cavalry	500
LN		Scythian	2	LN2	6	5					Cavalry	500
LN		Scythian	3	LN3	6	5					Cavalry	500
LN		Scythian	4	LN4	6	5					Cavalry	500
LN		Scythian	5	LN5	6	5					Cavalry	500
