Kind	Subclass	Origin	Number	Unit code	TQ	Size	Missile	Hits	State	MissileStatus	Unit global type	Nb mens
LI		Tribal	1	LI1	5	5	J				Infantry	750
LI		Tribal	2	LI2	5	5	J				Infantry	750
LI		Tribal	3	LI3	5	5	J				Infantry	750
LI		Tribal	4	LI4	5	5	J				Infantry	750
LI		Tribal	5	LI5	5	5	J				Infantry	750
LI		Tribal	6	LI6	5	5	J				Infantry	750
LI		Tribal	7	LI7	5	5	J				Infantry	750
LI		Tribal	8	LI8	5	5	J				Infantry	750
LI		Tribal	9	LI9	5	5	J				Infantry	750
LI		Tribal	10	LI10	5	5	J				Infantry	750
LI		Tribal	11	LI11	5	5	J				Infantry	750
LI		Tribal	12	LI12	5	5	J				Infantry	750
LI		Tribal	13	LI13	5	5	J				Infantry	750
LI		Tribal	14	LI14	5	5	J				Infantry	750
LI		Tribal	15	LI15	5	5	J				Infantry	750
LI		Tribal	16	LI16	5	5	J				Infantry	750
LI		Tribal	17	LI17	5	5	J				Infantry	750
LI		Tribal	18	LI18	5	5	J				Infantry	750
LI		Tribal	19	LI19	5	5	J				Infantry	750
LI		Tribal	20	LI20	5	5	J				Infantry	750
LI		Tribal	21	LI21	5	5	J				Infantry	750
LI		Tribal	22	LI22	5	5	J				Infantry	750
LI		Tribal	23	LI23	5	5	J				Infantry	750
LI		Tribal	24	LI24	5	5	J				Infantry	750
LI		Tribal	25	LI25	5	5	J				Infantry	750
LI		Tribal	26	LI26	5	5	J				Infantry	750
MI		Tribal	1	MI1	5	5					Infantry	750
MI		Tribal	2	MI2	5	5					Infantry	750
MI		Tribal	3	MI3	5	5					Infantry	750
MI		Tribal	4	MI4	5	5					Infantry	750
MI		Tribal	5	MI5	5	5					Infantry	750
MI		Tribal	6	MI6	5	5					Infantry	750
