Kind	Subclass	Origin	Number	Unit code	TQ	Size	Missile	Hits	State	MissileStatus	Unit global type	Nb mens
HI	HO	Athens	1	AHI1	6	10					Infantry	1500
HI	HO	Athens	2	AHI2	6	10					Infantry	1500
HI	HO	Athens	3	AHI3	6	10					Infantry	1500
HI	HO	Greek	5	GHI5	6	10					Infantry	1500
HI	HO	Greek	6	GHI6	6	10					Infantry	1500
HI	HO	Greek	8	GHI8	7	10					Infantry	1500
HI	HO	Sparta	1	SHI1	7	10					Infantry	1500
HI	HO	Sparta	2	SHI2	7	10					Infantry	1500
LC		Athens	1	ALC1	5	5	MJ				Cavalry	500
LC		Athens	2	ALC2	5	5	MJ				Cavalry	500
